article_id,model,fluency,faithfulness,informativeness
1.0,Lead-1,5.0,5.0,2.0
1.0,TextRank,2.0,4.0,2.0
1.0,DistilBART,5.0,2.0,2.0
1.0,BART-finetuned,5.0,2.0,2.0
2.0,Lead-1,5.0,5.0,2.0
2.0,TextRank,2.0,4.0,1.0
2.0,DistilBART,5.0,4.0,4.0
2.0,BART-finetuned,3.0,4.0,2.0
3.0,Lead-1,5.0,5.0,4.0
3.0,TextRank,1.0,4.0,1.0
3.0,DistilBART,4.0,2.0,2.0
3.0,BART-finetuned,5.0,2.0,2.0
4.0,Lead-1,5.0,4.0,2.0
4.0,TextRank,5.0,5.0,1.0
4.0,DistilBART,5.0,1.0,1.0
4.0,BART-finetuned,4.0,1.0,1.0
5.0,Lead-1,5.0,5.0,2.0
5.0,TextRank,2.0,4.0,1.0
5.0,DistilBART,4.0,4.0,4.0
5.0,BART-finetuned,1.0,1.0,1.0
6.0,Lead-1,5.0,5.0,2.0
6.0,TextRank,5.0,5.0,2.0
6.0,DistilBART,5.0,4.0,2.0
6.0,BART-finetuned,4.0,3.0,2.0
7.0,Lead-1,4.0,5.0,3.0
7.0,TextRank,5.0,5.0,2.0
7.0,DistilBART,5.0,1.0,1.0
7.0,BART-finetuned,5.0,5.0,4.0
8.0,Lead-1,4.0,5.0,5.0
8.0,TextRank,5.0,5.0,2.0
8.0,DistilBART,5.0,4.0,4.0
8.0,BART-finetuned,5.0,5.0,4.0
9.0,Lead-1,5.0,5.0,3.0
9.0,TextRank,4.0,5.0,4.0
9.0,DistilBART,5.0,4.0,4.0
9.0,BART-finetuned,3.0,3.0,2.0
10.0,Lead-1,5.0,5.0,3.0
10.0,TextRank,4.0,5.0,4.0
10.0,DistilBART,5.0,4.0,4.0
10.0,BART-finetuned,5.0,2.0,3.0
11.0,Lead-1,5.0,5.0,2.0
11.0,TextRank,5.0,5.0,2.0
11.0,DistilBART,5.0,1.0,1.0
11.0,BART-finetuned,4.0,1.0,1.0
12.0,Lead-1,5.0,4.0,2.0
12.0,TextRank,5.0,4.0,2.0
12.0,DistilBART,5.0,1.0,1.0
12.0,BART-finetuned,5.0,1.0,1.0
13.0,Lead-1,5.0,5.0,3.0
13.0,TextRank,5.0,5.0,1.0
13.0,DistilBART,5.0,2.0,3.0
13.0,BART-finetuned,5.0,4.0,2.0
14.0,Lead-1,5.0,4.0,1.0
14.0,TextRank,4.0,4.0,2.0
14.0,DistilBART,5.0,4.0,4.0
14.0,BART-finetuned,5.0,2.0,2.0
15.0,Lead-1,5.0,5.0,2.0
15.0,TextRank,5.0,5.0,4.0
15.0,DistilBART,5.0,3.0,3.0
15.0,BART-finetuned,5.0,2.0,2.0
16.0,Lead-1,5.0,5.0,3.0
16.0,TextRank,5.0,5.0,2.0
16.0,DistilBART,5.0,1.0,1.0
16.0,BART-finetuned,5.0,1.0,1.0
17.0,Lead-1,5.0,4.0,1.0
17.0,TextRank,5.0,4.0,2.0
17.0,DistilBART,5.0,4.0,4.0
17.0,BART-finetuned,5.0,2.0,2.0
18.0,Lead-1,5.0,5.0,3.0
18.0,TextRank,4.0,5.0,2.0
18.0,DistilBART,5.0,2.0,2.0
18.0,BART-finetuned,5.0,5.0,4.0
19.0,Lead-1,5.0,5.0,3.0
19.0,TextRank,5.0,5.0,2.0
19.0,DistilBART,5.0,5.0,4.0
19.0,BART-finetuned,5.0,3.0,2.0
20.0,Lead-1,5.0,5.0,1.0
20.0,TextRank,4.0,5.0,1.0
20.0,DistilBART,5.0,3.0,2.0
20.0,BART-finetuned,5.0,3.0,2.0
21.0,Lead-1,5.0,5.0,2.0
21.0,TextRank,4.0,5.0,2.0
21.0,DistilBART,5.0,3.0,2.0
21.0,BART-finetuned,5.0,1.0,1.0
22.0,Lead-1,5.0,5.0,4.0
22.0,TextRank,4.0,5.0,2.0
22.0,DistilBART,5.0,3.0,3.0
22.0,BART-finetuned,5.0,1.0,1.0
23.0,Lead-1,5.0,5.0,2.0
23.0,TextRank,4.0,5.0,1.0
23.0,DistilBART,5.0,2.0,2.0
23.0,BART-finetuned,5.0,1.0,1.0
24.0,Lead-1,5.0,5.0,5.0
24.0,TextRank,5.0,5.0,2.0
24.0,DistilBART,5.0,4.0,3.0
24.0,BART-finetuned,5.0,1.0,1.0
25.0,Lead-1,5.0,5.0,3.0
25.0,TextRank,3.0,5.0,1.0
25.0,DistilBART,5.0,5.0,4.0
25.0,BART-finetuned,5.0,4.0,3.0
26.0,Lead-1,5.0,5.0,3.0
26.0,TextRank,4.0,5.0,2.0
26.0,DistilBART,5.0,2.0,3.0
26.0,BART-finetuned,5.0,4.0,4.0
27.0,Lead-1,3.0,4.0,1.0
27.0,TextRank,5.0,5.0,1.0
27.0,DistilBART,5.0,1.0,1.0
27.0,BART-finetuned,5.0,1.0,1.0
28.0,Lead-1,5.0,5.0,3.0
28.0,TextRank,3.0,5.0,1.0
28.0,DistilBART,5.0,2.0,2.0
28.0,BART-finetuned,5.0,2.0,2.0
29.0,Lead-1,4.0,5.0,2.0
29.0,TextRank,5.0,5.0,1.0
29.0,DistilBART,5.0,1.0,1.0
29.0,BART-finetuned,5.0,1.0,1.0
30.0,Lead-1,5.0,5.0,4.0
30.0,TextRank,4.0,5.0,1.0
30.0,DistilBART,5.0,4.0,4.0
30.0,BART-finetuned,5.0,1.0,1.0
31.0,Lead-1,5.0,5.0,4.0
31.0,TextRank,5.0,5.0,2.0
31.0,DistilBART,5.0,2.0,3.0
31.0,BART-finetuned,5.0,2.0,3.0
32.0,Lead-1,5.0,5.0,4.0
32.0,TextRank,4.0,5.0,2.0
32.0,DistilBART,5.0,4.0,3.0
32.0,BART-finetuned,5.0,2.0,2.0
33.0,Lead-1,5.0,5.0,4.0
33.0,TextRank,5.0,5.0,1.0
33.0,DistilBART,5.0,2.0,3.0
33.0,BART-finetuned,5.0,1.0,1.0
34.0,Lead-1,5.0,5.0,2.0
34.0,TextRank,5.0,5.0,2.0
34.0,DistilBART,5.0,1.0,1.0
34.0,BART-finetuned,5.0,1.0,1.0
35.0,Lead-1,5.0,5.0,2.0
35.0,TextRank,5.0,5.0,2.0
35.0,DistilBART,5.0,5.0,4.0
35.0,BART-finetuned,5.0,4.0,3.0
36.0,Lead-1,5.0,5.0,3.0
36.0,TextRank,4.0,5.0,2.0
36.0,DistilBART,5.0,5.0,4.0
36.0,BART-finetuned,5.0,3.0,2.0
37.0,Lead-1,5.0,5.0,3.0
37.0,TextRank,4.0,5.0,1.0
37.0,DistilBART,5.0,4.0,3.0
37.0,BART-finetuned,5.0,1.0,1.0
38.0,Lead-1,5.0,5.0,5.0
38.0,TextRank,5.0,5.0,5.0
38.0,DistilBART,4.0,2.0,2.0
38.0,BART-finetuned,5.0,1.0,1.0
39.0,Lead-1,5.0,5.0,2.0
39.0,TextRank,5.0,5.0,1.0
39.0,DistilBART,5.0,4.0,4.0
39.0,BART-finetuned,5.0,4.0,4.0
40.0,Lead-1,5.0,5.0,3.0
40.0,TextRank,3.0,5.0,1.0
40.0,DistilBART,5.0,5.0,5.0
40.0,BART-finetuned,4.0,2.0,2.0
41.0,Lead-1,5.0,5.0,2.0
41.0,TextRank,5.0,5.0,2.0
41.0,DistilBART,5.0,2.0,4.0
41.0,BART-finetuned,5.0,2.0,3.0
42.0,Lead-1,5.0,5.0,3.0
42.0,TextRank,5.0,5.0,3.0
42.0,DistilBART,5.0,2.0,3.0
42.0,BART-finetuned,5.0,1.0,2.0
43.0,Lead-1,5.0,5.0,3.0
43.0,TextRank,4.0,5.0,4.0
43.0,DistilBART,5.0,4.0,3.0
43.0,BART-finetuned,5.0,5.0,4.0
44.0,Lead-1,5.0,5.0,3.0
44.0,TextRank,2.0,5.0,1.0
44.0,DistilBART,5.0,4.0,4.0
44.0,BART-finetuned,5.0,2.0,3.0
45.0,Lead-1,3.0,5.0,3.0
45.0,TextRank,3.0,5.0,3.0
45.0,DistilBART,5.0,4.0,4.0
45.0,BART-finetuned,4.0,1.0,1.0
46.0,Lead-1,4.0,5.0,1.0
46.0,TextRank,5.0,5.0,2.0
46.0,DistilBART,5.0,1.0,1.0
46.0,BART-finetuned,5.0,5.0,4.0
47.0,Lead-1,5.0,5.0,1.0
47.0,TextRank,5.0,5.0,2.0
47.0,DistilBART,5.0,5.0,4.0
47.0,BART-finetuned,5.0,1.0,1.0
48.0,Lead-1,5.0,5.0,3.0
48.0,TextRank,5.0,5.0,1.0
48.0,DistilBART,5.0,4.0,4.0
48.0,BART-finetuned,5.0,1.0,1.0
49.0,Lead-1,5.0,5.0,1.0
49.0,TextRank,4.0,5.0,1.0
49.0,DistilBART,5.0,5.0,4.0
49.0,BART-finetuned,5.0,2.0,3.0
50.0,Lead-1,5.0,5.0,2.0
50.0,TextRank,4.0,5.0,1.0
50.0,DistilBART,5.0,1.0,2.0
50.0,BART-finetuned,5.0,4.0,2.0
51.0,Lead-1,5.0,5.0,4.0
51.0,TextRank,5.0,5.0,3.0
51.0,DistilBART,5.0,5.0,5.0
51.0,BART-finetuned,5.0,1.0,1.0
52.0,Lead-1,5.0,5.0,2.0
52.0,TextRank,5.0,5.0,2.0
52.0,DistilBART,5.0,5.0,5.0
52.0,BART-finetuned,5.0,1.0,1.0
53.0,Lead-1,5.0,5.0,2.0
53.0,TextRank,5.0,5.0,1.0
53.0,DistilBART,5.0,5.0,5.0
53.0,BART-finetuned,5.0,5.0,3.0
54.0,Lead-1,5.0,5.0,3.0
54.0,TextRank,5.0,5.0,1.0
54.0,DistilBART,5.0,3.0,3.0
54.0,BART-finetuned,5.0,2.0,2.0
